name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"PAPELERAS DEL ARLANZON","PAPELERAS DEL ARLANZON, S.A.",,,Burgos,ES,4.001,"Natural gas",,,2006,,,,,"Fossil fuels","Natural gas",,,,SEDE
"CERAMICA DE PINA II","CERAMICA DE PINA, S.L.",,,"Pina de Campos",ES,0.954,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"ALVARO ESPUNY","ALVARO ESPUNY, S.L.",,,"Puente Genil",ES,15,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"COOPERATIVA DE VIVIENDAS JOVENES DE ORCASITAS","COOPERATIVA VIVIENDAS JOVENES ORCASITAS",,,Madrid,ES,0.492,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"COVISLAN, S.L.","COVISLAN, S.L.",,,Terrassa,ES,8.365,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
LORCA-1,"PROCESOS ECOLOGICOS, S.A.",,,Lorca,ES,15,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"PLANTA DE COGENERACION DAPSA","DANIEL AGUILO PANISELLO S.A.",,,Sevilla,ES,3.06,"Natural gas",,,2000,,,,,"Fossil fuels","Natural gas",,,,SEDE
HELIOS,"DULCES Y CONSERVAS HELIOS, S.A.",,,"Arroyo de la Encomienda",ES,3.884,"Natural gas",,,2000,,,,,"Fossil fuels","Natural gas",,,,SEDE
"BADENES COGENERACION","BADENES COGENERACION, S.L.",,,Sagunto/Sagunt,ES,1.688,Oil,,,2000,,,,,"Fossil fuels",Oil,,,,SEDE
"NIVELUR (AMPLIACION 809 KW 30-6-2005)","NIVELUR, S.L.",,,Orozko,ES,0.992,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"TEXTIL SANTANDERINA","TEXTIL SANTANDERINA, S.A.",,,"Cabezon de la Sal",ES,4.5,"Natural gas",,,1996,,,,,"Fossil fuels","Natural gas",,,,SEDE
ATHENEA,"ATHENEA ENERGIA, S.L.",,,Villena,ES,4.656,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"SAMPOL INGENIERIA Y OBRAS, S.A.","SAMPOL INGENIERIA Y OBRAS, S.A.",,,Madrid,ES,33,"Natural gas",,,2004,,,,,"Fossil fuels","Natural gas",,,,SEDE
"EL RETALLO","AGROPECUARIA EL RETALLO, S.L.",,,"Roda (La)",ES,1,"Natural gas",,,2006,,,,,"Fossil fuels","Natural gas",,,,SEDE
TORROLLON,"COMUNIDAD GENERAL DE RIEGOS DEL ALTO ARAGON",,,Huerto,ES,0.893,Hydro,,,2000,,,,,"Renewable energy",Hydro,,,,SEDE
"BECOSA CABRA","BECOSA ENERGIAS RENOVABLES, S.A.",,,Cabra,ES,17.675,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"IBERIA, LINEAS AEREAS DE ESPANA","IBERIA, LINEAS AEREAS DE ESPANA, S.A.",,,Madrid,ES,8.732,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
PROCESA,"PRODUCTOS CELULOSICOS, S.A.",,,"Azuqueca de Henares",ES,3.888,"Natural gas",,,2000,,,,,"Fossil fuels","Natural gas",,,,SEDE
"FACTORIA DE GUARENA","TECNOLOGIA Y ROBOTICA EXTREMENA, S.L.",,,Guarena,ES,1.52,Oil,,,2000,,,,,"Fossil fuels",Oil,,,,SEDE
"HILATURAS BEJAR","HILATURAS BEJAR, S.A.",,,Bejar,ES,0.244,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"COGENERACION COGAL","CONEJOS GALLEGOS COGAL, S.C.L.(COGAL)",,,Rodeiro,ES,0.67,Oil,,,2000,,,,,"Fossil fuels",Oil,,,,SEDE
"PLANTA DEPURACION AGUAS RESIDUALES","CONSORCIO DE AGUAS BILBAO BIZKAIA",,,Sestao,ES,3.535,"Natural gas",,,1996,,,,,"Fossil fuels","Natural gas",,,,SEDE
SANTOMERA,"UNION FENOSA ENERGIAS ESPECIALES, S.A.",,,Santomera,ES,16.5,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"PLANTA PURINES HINOJAR","ENERGIAS ALTERNATIVAS MURCIANAS, S.A.",,,Lorca,ES,14.94,"Natural gas",,,2002,,,,,"Fossil fuels","Natural gas",,,,SEDE
